I1029 10:09:19.313802       1 controller.go:198] "Starting EventSource" controller="customresourcedefinition" controllerGroup="apiextensions.k8s.io" controllerKind="CustomResourceDefinition" source="kind source: *v1.CustomResourceDefinition"
I1029 10:09:19.314452       1 reflector.go:376] Caches populated for *v1.PersistentVolumeClaim from k8s.io/client-go/informers/factory.go:160
I1029 10:09:19.314554       1 reflector.go:376] Caches populated for *v1.PlacementPolicy from client/informers/externalversions/factory.go:142
I1029 10:09:19.314802       1 reflector.go:376] Caches populated for *v1.ControllerRevision from k8s.io/client-go/informers/factory.go:160
I1029 10:09:19.315450       1 reflector.go:376] Caches populated for *v1.PetSet from client/informers/externalversions/factory.go:142
I1029 10:09:19.315848       1 reflector.go:376] Caches populated for *v1.Pod from k8s.io/client-go/informers/factory.go:160
I1029 10:09:19.318904       1 reflector.go:313] Starting reflector *v1.CustomResourceDefinition (10m38.098925708s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108
I1029 10:09:19.318913       1 reflector.go:349] Listing and watching *v1.CustomResourceDefinition from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108
I1029 10:09:19.414715       1 shared_informer.go:320] Caches are synced for stateful set
I1029 10:09:19.825196       1 reflector.go:376] Caches populated for *v1.CustomResourceDefinition from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:108
I1029 10:09:19.919164       1 controller.go:233] "Starting Controller" controller="customresourcedefinition" controllerGroup="apiextensions.k8s.io" controllerKind="CustomResourceDefinition"
I1029 10:09:19.919215       1 controller.go:242] "Starting workers" controller="customresourcedefinition" controllerGroup="apiextensions.k8s.io" controllerKind="CustomResourceDefinition" worker count=1
I1029 11:29:01.243517       1 petset.go:125] "validate create" logger="petset-resource" name="kfs"
I1029 11:29:01.360279       1 event.go:389] "Event occurred" object="default/kfs" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Claim kfs-data-kfs-0 Pod kfs-0 in PetSet kfs success"
I1029 11:29:01.364555       1 event.go:389] "Event occurred" object="default/kfs" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Pod kfs-0 in PetSet kfs successful"
W1029 11:29:01.369680       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:01.369692       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:01.463028       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:01.463046       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:01.478848       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:01.478860       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
I1029 11:29:02.417528       1 petset.go:125] "validate create" logger="petset-resource" name="pgs"
I1029 11:29:02.431856       1 event.go:389] "Event occurred" object="default/pgs" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Claim data-pgs-0 Pod pgs-0 in PetSet pgs success"
I1029 11:29:02.438598       1 event.go:389] "Event occurred" object="default/pgs" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Pod pgs-0 in PetSet pgs successful"
W1029 11:29:02.445437       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:02.445452       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:02.456443       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:02.456453       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:02.473892       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:02.473908       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:02.482660       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1029 11:29:02.482671       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1029 11:29:02.501754       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
